IPC_section_number,easy_question,hard_question
44,"[""EasyQuestionForSection44"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection44"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
45,"[""EasyQuestionForSection45"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection45"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
46,"[""EasyQuestionForSection46"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection46"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
47,"[""EasyQuestionForSection47"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection47"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
48,"[""EasyQuestionForSection48"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection48"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
49,"[""EasyQuestionForSection49"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection49"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
50,"[""EasyQuestionForSection50"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection50"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
51,"[""EasyQuestionForSection51"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection51"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
52,"[""EasyQuestionForSection52"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection52"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
53,"[""EasyQuestionForSection53"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection53"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
54,"[""EasyQuestionForSection54"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection54"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
55,"[""EasyQuestionForSection55"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection55"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
56,"[""EasyQuestionForSection56"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection56"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
57,"[""EasyQuestionForSection57"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection57"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
58,"[""EasyQuestionForSection58"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection58"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
59,"[""EasyQuestionForSection59"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection59"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
60,"[""EasyQuestionForSection60"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection60"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
61,"[""EasyQuestionForSection61"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection61"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
62,"[""EasyQuestionForSection62"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection62"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
63,"[""EasyQuestionForSection63"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection63"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
64,"[""EasyQuestionForSection64"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection64"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
65,"[""EasyQuestionForSection65"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection65"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
66,"[""EasyQuestionForSection66"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection66"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
67,"[""EasyQuestionForSection67"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection67"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
68,"[""EasyQuestionForSection68"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection68"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
69,"[""EasyQuestionForSection69"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection69"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
70,"[""EasyQuestionForSection70"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection70"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
71,"[""EasyQuestionForSection71"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection71"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
72,"[""EasyQuestionForSection72"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection72"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
73,"[""EasyQuestionForSection73"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection73"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
74,"[""EasyQuestionForSection74"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection74"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
